id,Umur,Kelas Pekerja,Berat Akhir,Pendidikan,Jmlh Tahun Pendidikan,Status Perkawinan,Pekerjaan,Jenis Kelamin,Keuntungan Kapital,Kerugian Capital,Jam per Minggu,Gaji
2817,41,Wiraswasta,237321,1st-4th,2,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,1
35881,51,Wiraswasta,30012,SMA,9,Cerai,Servis Lainnya,Laki2,0.0,0.0,80.0,0
32947,55,Wiraswasta,243929,Master,14,Menikah,Spesialis,Laki2,0.0,0.0,60.0,0
11488,27,Pemerintah Negara,365916,D3,12,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,58.0,0
23863,24,Wiraswasta,220944,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,60.0,0
15023,45,Pekerja Bebas Perusahaan,120131,7th-8th,4,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,52.0,0
34787,28,Wiraswasta,398220,Pendidikan Tinggi,10,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,0
41387,52,Pekerja Bebas Bukan Perusahan,168553,7th-8th,4,Menikah,Supir,Laki2,0.0,0.0,40.0,0
36301,50,Pekerja Bebas Bukan Perusahan,169112,Pendidikan Tinggi,10,Menikah,Spesialis,Laki2,0.0,0.0,25.0,0
37098,30,Wiraswasta,366876,11th,7,Menikah,Supir,Laki2,0.0,0.0,40.0,0
28388,35,Pemerintah Lokal,231180,SMA,9,Menikah,Supir,Laki2,0.0,0.0,45.0,0
33236,49,Wiraswasta,164200,Pendidikan Tinggi,10,Menikah,Spesialis,Laki2,0.0,0.0,40.0,0
34217,31,Pekerja Bebas Bukan Perusahan,271173,Pendidikan Tinggi,10,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,65100000.0,0.0,40.0,0
36596,23,Pemerintah Lokal,237498,SMA,9,Belum Pernah Menikah,Penjaga,Laki2,0.0,0.0,45.0,0
15112,44,Pemerintah Provinsi,102238,SMA,9,Cerai,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
40490,19,?,191140,Pendidikan Tinggi,10,Belum Pernah Menikah,?,Laki2,0.0,0.0,20.0,0
47150,50,Wiraswasta,49340,Pendidikan Tinggi,10,Cerai,Ekesekutif Managerial,Perempuan,0.0,0.0,40.0,0
31801,48,Pekerja Bebas Bukan Perusahan,218835,Master,14,Menikah,Sales,Laki2,0.0,0.0,50.0,0
41939,29,Wiraswasta,243660,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,45.0,0
23224,42,Wiraswasta,126701,Sarjana,13,Cerai,Pemuka Agama,Laki2,133868000.0,0.0,45.0,1
24968,58,Wiraswasta,100313,Pendidikan Tinggi,10,Menikah,Penjaga,Laki2,0.0,26628000.0,40.0,1
11584,53,Wiraswasta,171924,Sarjana,13,Cerai,Spesialis,Laki2,200816000.0,0.0,55.0,1
4008,40,Wiraswasta,92036,SMA,9,Menikah,Pembersih,Laki2,0.0,0.0,40.0,1
34833,37,Pekerja Bebas Bukan Perusahan,202683,SMA,9,Menikah,Spesialis,Laki2,0.0,0.0,40.0,0
487,59,Pemerintah Lokal,286967,SMA,9,Menikah,Supir,Laki2,0.0,0.0,45.0,0
927,51,Wiraswasta,138022,Master,14,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,60.0,1
8393,50,Pekerja Bebas Perusahaan,119099,Pendidikan Tinggi,10,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,99.0,1
31327,38,Pemerintah Negara,125499,Sarjana,13,Menikah,Spesialis,Laki2,107632000.0,0.0,60.0,1
5883,58,Pekerja Bebas Bukan Perusahan,231818,10th,6,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
26683,49,Wiraswasta,340755,Master,14,Menikah,Sales,Laki2,0.0,0.0,40.0,1
45117,41,Pekerja Bebas Bukan Perusahan,51494,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
34033,59,Wiraswasta,169611,SMA,9,Cerai,Sales,Perempuan,0.0,0.0,40.0,0
6047,42,Wiraswasta,125461,Sarjana,13,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,40.0,0
7534,31,Pemerintah Provinsi,108464,D3,12,Menikah,Tech-support,Laki2,0.0,0.0,40.0,0
16490,72,?,173427,SMA,9,Menikah,?,Laki2,0.0,0.0,40.0,0
27833,29,Wiraswasta,115064,SMA,9,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,40.0,0
41563,27,Wiraswasta,416946,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
12776,39,Wiraswasta,181943,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,35.0,0
40421,23,Wiraswasta,141427,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,40.0,0
21797,44,Pekerja Bebas Bukan Perusahan,71269,Sarjana,13,Cerai,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,0
7493,66,Pekerja Bebas Bukan Perusahan,291362,Sekolah Professional,15,Menikah,Spesialis,Laki2,0.0,0.0,50.0,0
26966,17,Wiraswasta,120068,11th,7,Belum Pernah Menikah,Pembersih,Laki2,0.0,0.0,17.0,0
18045,23,Wiraswasta,211601,Pendidikan Tinggi,10,Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,40.0,0
40178,37,Pemerintah Negara,93225,D3,12,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,45.0,0
45183,36,Pemerintah Lokal,322770,Pendidikan Tinggi,10,Menikah,Spesialis,Laki2,0.0,26418000.0,40.0,1
3118,19,Wiraswasta,130431,5th-6th,3,Belum Pernah Menikah,Petani,Laki2,0.0,0.0,36.0,0
4239,24,Wiraswasta,116934,Pendidikan Tinggi,10,Berpisah,Sales,Perempuan,0.0,0.0,45.0,0
29563,33,Wiraswasta,272411,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,40.0,0
23403,39,Wiraswasta,186130,Sekolah Professional,15,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,55.0,1
30468,38,?,365465,D4,11,Belum Pernah Menikah,?,Laki2,0.0,0.0,15.0,0
21655,24,Wiraswasta,117767,D3,12,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,20.0,0
18364,30,Pekerja Bebas Bukan Perusahan,146161,SMA,9,Menikah,Ekesekutif Managerial,Laki2,0.0,26418000.0,50.0,1
20686,42,?,32533,Pendidikan Tinggi,10,Belum Pernah Menikah,?,Laki2,0.0,0.0,45.0,0
15745,53,Pekerja Bebas Perusahaan,42924,Doktor,16,Cerai,Ekesekutif Managerial,Laki2,197176000.0,0.0,50.0,1
11093,55,Wiraswasta,124808,D4,11,Menikah,Spesialis,Laki2,0.0,27678000.0,50.0,1
17162,29,Pemerintah Lokal,132412,Sarjana,13,Belum Pernah Menikah,Pembersih,Laki2,0.0,0.0,40.0,0
12027,31,Pemerintah Negara,263000,D4,11,Menikah,Penjaga,Laki2,0.0,0.0,38.0,0
10674,37,Wiraswasta,188576,Doktor,16,Menikah,Spesialis,Laki2,0.0,0.0,40.0,0
32637,62,Wiraswasta,159822,SMA,9,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,50.0,0
14945,23,?,27415,11th,7,Belum Pernah Menikah,?,Laki2,0.0,0.0,40.0,0
46232,38,Pekerja Bebas Bukan Perusahan,126569,SMA,9,Cerai,Perbaikan Kerajinan,Laki2,0.0,0.0,60.0,0
43395,20,Wiraswasta,350824,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,20.0,0
43897,74,Wiraswasta,70234,SMA,9,Janda,Sales,Perempuan,0.0,0.0,26.0,0
1372,43,Wiraswasta,221550,Master,14,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,30.0,0
12313,68,Wiraswasta,214521,Sekolah Professional,15,Janda,Spesialis,Perempuan,0.0,0.0,16.0,0
16231,45,Wiraswasta,199058,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,48.0,0
35973,51,Pekerja Bebas Bukan Perusahan,329980,Pendidikan Tinggi,10,Cerai,Perbaikan Kerajinan,Laki2,0.0,0.0,8.0,1
1392,59,Wiraswasta,226922,SMA,9,Cerai,Sales,Perempuan,0.0,24668000.0,30.0,0
28974,63,Wiraswasta,287277,SMA,9,Cerai,Penjaga,Laki2,0.0,0.0,40.0,0
22325,61,Pekerja Bebas Bukan Perusahan,315977,SMA,9,Menikah,Supir,Laki2,0.0,0.0,40.0,0
19955,19,Wiraswasta,92863,SMA,9,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,20.0,0
24637,23,Wiraswasta,481175,Pendidikan Tinggi,10,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,24.0,0
8310,69,Wiraswasta,113035,1st-4th,2,Janda,Asisten Rumah Tangga,Perempuan,0.0,0.0,4.0,0
28084,32,Wiraswasta,116055,SMA,9,Belum Pernah Menikah,Pemuka Agama,Perempuan,41678000.0,0.0,35.0,0
18974,18,Wiraswasta,109702,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,30.0,0
40290,47,Wiraswasta,362654,Master,14,Menikah,Spesialis,Laki2,0.0,0.0,40.0,1
43184,46,Pekerja Bebas Bukan Perusahan,130779,D4,11,Menikah,Petani,Laki2,0.0,0.0,48.0,1
41762,51,Wiraswasta,257126,10th,6,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
22012,28,Wiraswasta,239130,Pendidikan Tinggi,10,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,50.0,0
26551,51,Pemerintah Lokal,155118,Master,14,Menikah,Spesialis,Perempuan,0.0,0.0,70.0,1
38098,19,?,505168,9th,5,Belum Pernah Menikah,?,Perempuan,0.0,0.0,40.0,0
4151,46,Pemerintah Negara,106705,Pendidikan Tinggi,10,Cerai,Spesialis,Perempuan,21084000.0,0.0,50.0,0
13144,37,Wiraswasta,194004,11th,7,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,25.0,0
15180,25,Wiraswasta,356017,11th,7,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,99.0,0
20666,38,Wiraswasta,156728,Sarjana,13,Menikah,Pemuka Agama,Laki2,0.0,0.0,56.0,0
11426,47,Pemerintah Lokal,173938,Sarjana,13,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,50.0,1
1832,46,Pemerintah Lokal,272780,Pendidikan Tinggi,10,Menikah,Spesialis,Laki2,0.0,0.0,24.0,0
19158,25,Wiraswasta,177147,Pendidikan Tinggi,10,Belum Pernah Menikah,Pembersih,Laki2,0.0,0.0,40.0,0
5227,50,Pemerintah Lokal,186888,SMA,9,Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,40.0,1
25244,27,Wiraswasta,105817,Sarjana,13,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,45.0,0
32518,24,Wiraswasta,403107,5th-6th,3,Belum Pernah Menikah,Pembersih,Laki2,0.0,0.0,40.0,0
20124,37,Pekerja Bebas Bukan Perusahan,245372,Sarjana,13,Cerai,Tech-support,Laki2,0.0,0.0,15.0,0
39836,63,Wiraswasta,177063,SMA,9,Menikah,Supir,Laki2,0.0,0.0,40.0,0
16501,40,Pemerintah Provinsi,391744,SMA,9,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
23151,40,Wiraswasta,27821,D4,11,Menikah,Supir,Laki2,39606000.0,0.0,40.0,0
19070,51,Wiraswasta,360131,5th-6th,3,Menikah,Perbaikan Kerajinan,Perempuan,0.0,0.0,40.0,0
517,20,?,214635,Pendidikan Tinggi,10,Belum Pernah Menikah,?,Laki2,0.0,0.0,24.0,0
22593,41,Wiraswasta,106900,Sarjana,13,Menikah,Tech-support,Laki2,0.0,0.0,38.0,0
41672,30,Wiraswasta,161153,SMA,9,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
6357,29,Wiraswasta,225024,SMA,9,Cerai,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
6326,41,Pekerja Bebas Bukan Perusahan,226505,SMA,9,Cerai,Servis Lainnya,Perempuan,0.0,0.0,40.0,0
45859,46,Pemerintah Negara,114396,Master,14,Menikah,Spesialis,Laki2,0.0,0.0,40.0,1
12254,60,Wiraswasta,122276,5th-6th,3,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,45.0,0
11900,32,Wiraswasta,236543,12th,8,Cerai,Penjaga,Laki2,0.0,0.0,54.0,0
8934,24,Wiraswasta,175254,Pendidikan Tinggi,10,Belum Pernah Menikah,Supir,Laki2,0.0,0.0,40.0,0
33947,22,Wiraswasta,117606,Sarjana,13,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,8.0,0
4902,47,Wiraswasta,97842,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
38,31,Wiraswasta,84154,Pendidikan Tinggi,10,Menikah,Sales,Laki2,0.0,0.0,38.0,1
11822,26,Wiraswasta,224426,Master,14,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,38.0,0
10269,40,Pekerja Bebas Bukan Perusahan,284706,Sekolah Professional,15,Menikah,Spesialis,Laki2,0.0,27678000.0,60.0,1
46117,19,Wiraswasta,232261,9th,5,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,40.0,0
13546,20,Wiraswasta,304710,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,20.0,0
38183,34,Pemerintah Lokal,260782,Pendidikan Tinggi,10,Menikah,Pembersih,Laki2,0.0,0.0,52.0,1
40175,42,Pekerja Bebas Bukan Perusahan,24763,Sarjana,13,Cerai,Perbaikan Kerajinan,Laki2,0.0,0.0,65.0,0
24695,41,Wiraswasta,185145,SMA,9,Menikah,Tech-support,Laki2,0.0,0.0,45.0,1
39684,54,Pekerja Bebas Perusahaan,22743,Sarjana,13,Cerai,Ekesekutif Managerial,Laki2,1399986000.0,0.0,70.0,1
10387,42,Wiraswasta,77373,Pendidikan Tinggi,10,Menikah,Pembersih,Laki2,0.0,0.0,38.0,0
31933,38,Wiraswasta,219446,9th,5,Menikah LDR,Ekesekutif Managerial,Laki2,0.0,0.0,54.0,0
36652,50,Wiraswasta,83311,Master,14,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,1
34942,47,Pemerintah Lokal,115304,Master,14,Cerai,Spesialis,Perempuan,0.0,0.0,40.0,0
9567,65,Wiraswasta,155261,SMA,9,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,1
20161,20,?,304076,11th,7,Belum Pernah Menikah,?,Perempuan,0.0,0.0,20.0,0
28343,50,Wiraswasta,196193,Sarjana,13,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
23091,51,Wiraswasta,154949,SMA,9,Janda,Mesin Inspeksi,Perempuan,0.0,0.0,40.0,0
35722,30,Wiraswasta,48520,SMA,9,Cerai,Supir,Laki2,0.0,0.0,43.0,0
13876,31,Wiraswasta,49325,SMA,9,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,0
40796,30,Wiraswasta,90446,7th-8th,4,Menikah,Petani,Laki2,0.0,0.0,40.0,0
14644,44,Wiraswasta,105862,Pendidikan Tinggi,10,Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,70.0,1
26105,51,Wiraswasta,124963,Sarjana,13,Menikah,Sales,Laki2,0.0,0.0,40.0,1
24195,29,?,188675,Pendidikan Tinggi,10,Cerai,?,Laki2,0.0,0.0,40.0,0
12428,55,?,216941,SMA,9,Menikah,?,Perempuan,40390000.0,0.0,40.0,0
